,confirmed,confirmed_daily,confirmed_ma_7,confirmed_ma_14,suspects,suspects_ma_7,suspects_ma_14,hospitalized,hospitalized_daily,hospitalized_ma_7,hospitalized_ma_14,deaths,deaths_daily ,deaths_ma_7,deaths_ma_14
2020-08-06,2162,47.0,53.42857142857143,58.5,330,276.7142857142857,288.7142857142857,2495,66.0,56.142857142857146,56.57142857142857,281,9.0,7.857142857142857,7.0
2020-08-07,2232,70.0,55.285714285714285,55.142857142857146,332,279.7142857142857,288.85714285714283,2551,56.0,58.0,55.857142857142854,285,4.0,7.285714285714286,6.571428571428571
2020-08-08,2299,67.0,53.57142857142857,52.785714285714285,320,286.85714285714283,292.2857142857143,2586,35.0,59.285714285714285,55.357142857142854,294,9.0,7.0,6.857142857142857
2020-08-09,2337,38.0,51.0,52.142857142857146,299,296.2857142857143,293.7142857142857,2623,37.0,59.57142857142857,55.0,305,11.0,8.142857142857142,7.357142857142857
2020-08-10,2455,118.0,58.714285714285715,58.142857142857146,190,294.7142857142857,287.5,2695,72.0,58.42857142857143,56.285714285714285,315,10.0,8.0,7.5
2020-08-11,2484,29.0,61.285714285714285,57.0,267,291.57142857142856,284.7142857142857,2770,75.0,58.285714285714285,56.42857142857143,324,9.0,8.571428571428571,7.785714285714286
2020-08-12,2541,57.0,60.857142857142854,58.642857142857146,287,289.2857142857143,281.2857142857143,2850,80.0,60.142857142857146,58.214285714285715,328,4.0,8.0,7.857142857142857
2020-08-13,2592,51.0,61.42857142857143,57.42857142857143,322,288.14285714285717,282.42857142857144,2920,70.0,60.714285714285715,58.42857142857143,336,8.0,7.857142857142857,7.857142857142857
2020-08-14,2647,55.0,59.285714285714285,57.285714285714285,370,293.57142857142856,286.64285714285717,3001,81.0,64.28571428571429,61.142857142857146,344,8.0,8.428571428571429,7.857142857142857
2020-08-15,2728,81.0,61.285714285714285,57.42857142857143,344,297.0,291.92857142857144,3046,45.0,65.71428571428571,62.5,349,5.0,7.857142857142857,7.428571428571429
2020-08-16,2799,71.0,66.0,58.5,294,296.2857142857143,296.2857142857143,3091,45.0,66.85714285714286,63.214285714285715,352,3.0,6.714285714285714,7.428571428571429
2020-08-17,2850,51.0,56.42857142857143,57.57142857142857,266,307.14285714285717,300.92857142857144,3166,75.0,67.28571428571429,62.857142857142854,363,11.0,6.857142857142857,7.428571428571429
2020-08-18,2903,53.0,59.857142857142854,60.57142857142857,344,318.14285714285717,304.85714285714283,3230,64.0,65.71428571428571,62.0,367,4.0,6.142857142857143,7.357142857142857
2020-08-19,2985,82.0,63.42857142857143,62.142857142857146,316,322.2857142857143,305.7857142857143,3307,77.0,65.28571428571429,62.714285714285715,372,5.0,6.285714285714286,7.142857142857143
2020-08-20,3120,135.0,75.42857142857143,68.42857142857143,203,305.2857142857143,296.7142857142857,3392,85.0,67.42857142857143,64.07142857142857,379,7.0,6.142857142857143,7.0
2020-08-21,3187,67.0,77.14285714285714,68.21428571428571,207,282.0,287.7857142857143,3461,69.0,65.71428571428571,65.0,389,10.0,6.428571428571429,7.428571428571429
